
movie_title, genre, date, views, sins, box_office_$M, budget_$M,
"Rise Of The Planet Of The Apes (2011)", Thriller, "Sep 22 2018", 1095076, 102, 481.8, 
"Spider-Man 2 (2004)", Superhero,"Sep 20 2018", 1784374, 106,  789,
"The Golden Compass (2007)", Fantasy_Adventure,"Sep 18 2018", 1312767, 113, 372.2,
"Star Wars: Episode VII - The Force Awakens (2015)", Space_Opera,"Sep 13 2018", 2615438, 135, "2.071 B",
"Annabelle: Creation (2017)", Horror, "Sep 4 2018", 2146958, 110, 306.5,
"Cowboys & Aliens (2011)", Science_Fiction,"Aug 30 2018", 1936342, 140,  174.8,
"The Cloverfield Paradox (2018)", Horror,"Aug 28 2018", 1318374, 110, 45,
"The Lone Ranger (2013)", "Western","Aug 23 2018", 1606466, 139,  260.5,
"Rampage (2018)", "Monster", "Aug 21 2018", 3927259, 122,428, 
"The Karate Kid (2010)", "Sports_Action", "Aug 16 2018", 4574178, 115, 359.1,
"Ready Player One (2018)", Science_Fiction,"Aug 14 2018", 8729930, 128, 582.9,
"Tomb Raider (2018)", "Action_Adventure","Aug 9 2018", 1940504, 132,  274.7,
"Deep Blue Sea (1999)", Horror,"Aug 7 2018", 4037330, 113,  165,
"Maze Runner: The Death Cure (2018)", Science_Fiction,"Aug 2 2018", 1913508, 119,  288.2,
"Minions (2015)", Animated_Comedy,"July 31 2018", 4509100, 186,  "1.159 B",
"Justice League Dark (2017)", Animated_Superhero,"July 26 2018", 1579585,130,  0,
"Pacific Rim: Uprising (2018)", Science_Fiction,"uly 24 2018", 4958967,170, 290.9,
"Unfriended (2014)", Horror,"July 19 2018", 5918984, 116,  64.1,
"Mama Mia (2008)", "Musical_Comedy","July 17 2018", 1712544, 109,  615.7,
"Hotel Transylvania 2 (2015)", Animated_Comedy,"July 12 2018", 234789, 96,  474.8,
"Hotel Transylvania (2012)", Animated_Comedy,"July 10 2018", 4867158, 105, 358.4,
"Tron Legacy (2010)", Science_Fiction,"July 5 2018", 2381974, 109,  400.1,
"Black Panther (2018)", Superhero,"July 3 2018", 9539303, 105,  "1.348 B",
"A Wrinkle in Time (2018)", Science_Fiction,"June 28 2018", 12 93547, 104,  133.4,
"Pitch Perfect 3 (2017)","Musical_Comedy","June 26 2018", 1869503, 129, 185.4,
"Fifty Shades Freed (2018)", "Romantic_Drama","June 19 2018", 1893601, 201, 372,
"Ratatouille (2007)", Animated_Comedy, "June 12 2018", 8898224, 91, 620.7,
"Ocean's Eleven (2001)", Crime_Drama, "June 5 2018", 2704076, 143, 450.7,
"Cast Away (2000)", Drama,"May 29 2018", 6286126, 87, 429.6, 
"Scooby Doo (2002)", Animated_Comedy,"May 17 2018", 4372909, 104, 275.7,
"Blade: Trinity (2004)", Superhero, "May 15 2018", 2083561, 124, 132, 
"The Bourne Legacy (2012)", Thriller, "May 10 2018", 933143, 117, 276.1,
"The Greatest Showman (2017)", Musical_Drama,"May 3 2018", 4540964, 112,  435, 
"The Shape of Water (2017)", "Romantic_Fantasy","April 19 2018", 2420790, 99,  195.3,
"Atomic Blonde (2017)", Action_Thriller,"April 17 2018", 1625671, 99,  100,
"Ferdinand (2017)",Animated_Comedy,"April 10 2018", 4283492, 124, 296.1,
"The Babadook (2014)", Horror, "April 5 2018", 4818572, 90, 10.3,
"Murder On The Orient Express (2017)", Mystery,"April 3 2018", 2408314, 79, 352.8,
"Coco (2017)", Animated_Fantasy,"March 29 2018", 8587914, 88, 807.8,
"Happy Death Day (2017)", "Slasher","March 27 2018", 5303632, 106, 125.5,
"Sherlock Holmes: A Game of Shadows", Mystery,"March 22 2018", 1861712, 111, 545.4,
"Gnomeo & Juliet (2011)", Animated_Fantasy,"March 20 2018",4131004, 106, 193.9,
"Lara Croft: Tomb Raider - Cradle Of Life (2003)", "Action_Adventure","March 15 2018", 991459, 136, 160.1,
"Lara Croft: Tomb Raider (2001)", "Action_Adventure","March 13 2018", 1647844, 146, 247.7,
"The Chronicles Of Narnia: The Lion, The Witch and the Wardrobe (2005)", Fantasy,"March 8 2018", 2552505, 124, 745,
"The Strangers (2008)", Horror, "March 6 2018", 2061519, 87, 82.4,
"Death Wish (1974)", "Action_Drama","March 1 2018",893548, 106, "[20.3]",
"Birdman (2014)",Comedy_Drama,"Feb 27 2018", 1565418, 77, 103.2,
"Ex Machina (2015)", Thriller, "Feb 22 2018", 3089907, 69, 36.9,
"Blade Runner 2049 (2017)", Science_Fiction,"Feb 20 2018",1951925, 114,  260.5,
"Hancock (2008)",Superhero, "Feb 15 2018",5841648,104, 629.4,
"Valentine's Day (2010)", Romantic_Comedy,"Feb 13 2018", 1534110, 176, 216.5,
"Fifty Shades Darker (2017)", "Romantic_Drama","Feb 8 2018", 2722856, 1155, 381,
"Bright (2017)", "Fantasy_Action","Feb 6 2018",3254568,113, 0,
"The Lorax (2012)", "Musical_Fantasy","Feb 1 2018", 8885021, 102,  348.8,
"Ender's Game (2017)", Science_Fiction,"Jan 25 2018", 5088233, 97, 125.5,
"Valerian & The City Of A Thousand Planets (2017)", Space_Opera,"Jan 23 2018",3072325, 131, 226,
"The LEGO Ninjago Movie (2017)", Animated_Adventure,"Jan 18 2018", 2567180, 116, 123.1,
"Girls Trip (2017)", Comedy,"Jan 17 2018", 904435, 96, 140.9,
"Bee Movie (2007)", Animated_Comedy,"Jan 4 2018", 9262046, 145,  293.6,
"Pirates of the Caribbean: Dead Men Tell No Tales (2017)", Fantasy,"Jan 2 2018", 3975593, 142, 794.9, 
"Despicable Me 3 (2017)", Animated_Comedy,"Dec 28 2017", 8293167, 130, "1.035 B",
"The Amityville Horror (2005)", Horror, "Dec 27 2017", 1748884, 129, 108,
"War For The Planet Of The Apes (2017)", Science_Fiction,"Dec 19 2017", 2453282, 91, 490.7,
"Jumanji (1995)", Fantasy_Adventure,"Dec 14 2017", 4385436, 174, 262.8,
"Rogue One: A Star Wars Story (2016)", Space_Opera,"Dec 12 2017", 4380867, 106, "1.056 B",
"E.T. the Extra Terrestrial (1985)", Science_Fiction,"Dec 7 2017", 1321668, 84,  792.9,
"Spider-Man: Homecoming (2017)", Superhero, "Dec 5 2017", 10467810, 86,  880.2,
"Transformers The Last Knight (2017)", Science_Fiction,"Nov 30 2017",4670564, 2158, 605.4,
"Arrival (2016)", Science_Fiction,"Nov 28 2017",3620159, 89, 203.4,
"The Emoji Movie (2017)", Animated_Comedy, "Nov 23 2017", 12268996, 279, 217.8,
"Cars 3 (2017)", Animated_Adventure,"Nov 21 2017", 5763003, 97, 383.9,
"The Dark Tower (2017)", Science_Fiction,"Nov 16 2017", 2058746, 114,  113.2,
"Wonder Woman (2017)", Superhero,"Nov 14 2017", 4830937, 99, 822.3,
"Baby Driver (2017)", Action, "Nov 9 2017", 8785974, 86, 226.9,
"Daddy's Home (2015)", Comedy,"Nov 7 2017", 3328499, 126,  242.8,
"Bad Moms (2016)", Comedy,"Nov 2 2017", 3543201, 109, 183.9, 
"Guardians of the Galaxy Vol. 2 (2017)", Superhero,"Oct 31 2017", 8634845, 120, 863.8,
"Saw IV (2007)", Horror, "Oct 26 2017", 3060655, 120, 139.4,
"300: Rise of an Empire (2014)", Action, "Aug 24 2017", 4207377, 235,  337.6,
"Beauty and the Beast (2017)", "Musical_Fantasy","July 13 2017", 4900471, 127, "1.264 B",
"La La Land (2016)", Musical_Drama,"July 6 2017", 2049009, 84, 448.9,
"The Lego Movie (2014)",Animated_Adventure,"Feb 7 2017", 9944223, 110, 468.1,
"xXx: State of the Union (2005)", "Action_Spy","Jan 19 2017", 1920849,132,  71.1,
